pattern,mem_space,n2,PP,n_devices,devices
Contiguous,GlobalMem,1,7.20162623455665e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,2,5.130900615100483e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,4,3.399600417852748e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,8,2.2407344593553962e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,16,1.852264673969181e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,32,2.004168133238264e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,64,2.0238787695021186e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,128,2.0135337563140063e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,256,2.0346440704392456e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,512,2.0296824174142334e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,GlobalMem,1024,2.0070978187670037e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,1,9.561818772784323e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,2,8.443164347212284e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,4,6.654107193607549e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,8,5.172959147088365e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,16,4.1702174056955425e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,32,4.3270394560888554e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,64,4.371014528554512e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Contiguous,LocalMem,128,4.3185274456122327e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
